MUNICIPIO,CNAE,TOTAL
"ACRELANDIA","9602502","5"
"ACRELANDIA","9602501","25"
"ACRELANDIA","9529104","1"
"ACRELANDIA","9529102","1"
"ACRELANDIA","9521500","1"
"ACRELANDIA","9512600","3"
"ACRELANDIA","9511800","2"
"ACRELANDIA","9001906","1"
"ACRELANDIA","8599699","1"
"ACRELANDIA","8599605","1"
"ACRELANDIA","8599604","4"
"ACRELANDIA","8599603","1"
"ACRELANDIA","8592903","1"
"ACRELANDIA","8299799","2"
"ACRELANDIA","8291100","4"
"ACRELANDIA","8230001","4"
"ACRELANDIA","8219999","3"
"ACRELANDIA","8020002","1"
"ACRELANDIA","7911200","7"
"ACRELANDIA","7732201","1"
"ACRELANDIA","7731400","3"
"ACRELANDIA","7722500","1"
"ACRELANDIA","7420003","1"
"ACRELANDIA","7420002","1"
"ACRELANDIA","7420001","2"
"ACRELANDIA","7319099","1"
"ACRELANDIA","7319002","27"
"ACRELANDIA","6190699","1"
"ACRELANDIA","5912099","1"
"ACRELANDIA","5819100","1"
"ACRELANDIA","5811500","1"
"ACRELANDIA","5620104","3"
"ACRELANDIA","5620102","2"
"ACRELANDIA","5620101","2"
"ACRELANDIA","5612100","3"
"ACRELANDIA","5611205","26"
"ACRELANDIA","5611204","32"
"ACRELANDIA","5611203","23"
"ACRELANDIA","5611201","10"
"ACRELANDIA","5590699","2"
"ACRELANDIA","5590603","1"
"ACRELANDIA","5590602","1"
"ACRELANDIA","5320202","1"
"ACRELANDIA","5212500","2"
"ACRELANDIA","4930204","1"
"ACRELANDIA","4930201","11"
"ACRELANDIA","4929902","1"
"ACRELANDIA","4789099","3"
"ACRELANDIA","4789004","1"
"ACRELANDIA","4789002","1"
"ACRELANDIA","4789001","1"
"ACRELANDIA","4785799","1"
"ACRELANDIA","4783101","1"
"ACRELANDIA","4782201","2"
"ACRELANDIA","4781400","51"
"ACRELANDIA","4772500","3"
"ACRELANDIA","4763603","1"
"ACRELANDIA","4763601","1"
"ACRELANDIA","4761001","1"
"ACRELANDIA","4759899","1"
"ACRELANDIA","4757100","1"
"ACRELANDIA","4755503","4"
"ACRELANDIA","4755502","10"
"ACRELANDIA","4755501","1"
"ACRELANDIA","4754702","1"
"ACRELANDIA","4752100","2"
"ACRELANDIA","4751201","5"
"ACRELANDIA","4744099","1"
"ACRELANDIA","4732600","1"
"ACRELANDIA","4729699","8"
"ACRELANDIA","4724500","3"
"ACRELANDIA","4723700","14"
"ACRELANDIA","4722901","1"
"ACRELANDIA","4721102","3"
"ACRELANDIA","4713002","1"
"ACRELANDIA","4712100","11"
"ACRELANDIA","4543900","3"
"ACRELANDIA","4541206","3"
"ACRELANDIA","4530704","1"
"ACRELANDIA","4530703","2"
"ACRELANDIA","4520006","3"
"ACRELANDIA","4520005","1"
"ACRELANDIA","4520003","1"
"ACRELANDIA","4520002","2"
"ACRELANDIA","4520001","9"
"ACRELANDIA","4399103","12"
"ACRELANDIA","4330499","1"
"ACRELANDIA","4330404","3"
"ACRELANDIA","4330402","1"
"ACRELANDIA","4322302","8"
"ACRELANDIA","4321500","2"
"ACRELANDIA","3321000","1"
"ACRELANDIA","3314707","1"
"ACRELANDIA","3314702","1"
"ACRELANDIA","3299099","1"
"ACRELANDIA","3103900","1"
"ACRELANDIA","3101200","3"
"ACRELANDIA","2599301","1"
"ACRELANDIA","2542000","3"
"ACRELANDIA","2539001","2"
"ACRELANDIA","2512800","1"
"ACRELANDIA","2330399","1"
"ACRELANDIA","1813099","1"
"ACRELANDIA","1623400","1"
"ACRELANDIA","1622699","1"
"ACRELANDIA","1539400","1"
"ACRELANDIA","1529700","3"
"ACRELANDIA","1412603","1"
"ACRELANDIA","1412602","1"
"ACRELANDIA","1412601","1"
"ACRELANDIA","1352900","1"
"ACRELANDIA","1340599","1"
"ACRELANDIA","1099604","1"
"ACRELANDIA","1091102","5"
"ACRELANDIA","1091101","4"
"ACRELANDIA","1063500","1"
"ACRELANDIA","0161003","2"
"ASSIS BRASIL","9700500","2"
"ASSIS BRASIL","9609299","2"
"ASSIS BRASIL","9602502","1"
"ASSIS BRASIL","9602501","9"
"ASSIS BRASIL","9511800","5"
"ASSIS BRASIL","8599605","1"
"ASSIS BRASIL","8599604","1"
"ASSIS BRASIL","8599603","1"
"ASSIS BRASIL","8592999","1"
"ASSIS BRASIL","8291100","1"
"ASSIS BRASIL","8230001","1"
"ASSIS BRASIL","8219999","2"
"ASSIS BRASIL","8130300","2"
"ASSIS BRASIL","8020002","1"
"ASSIS BRASIL","7990200","1"
"ASSIS BRASIL","7732201","1"
"ASSIS BRASIL","7731400","3"
"ASSIS BRASIL","7319099","1"
"ASSIS BRASIL","7319002","5"
"ASSIS BRASIL","5620104","5"
"ASSIS BRASIL","5612100","2"
"ASSIS BRASIL","5611205","7"
"ASSIS BRASIL","5611204","2"
"ASSIS BRASIL","5611203","11"
"ASSIS BRASIL","5611201","9"
"ASSIS BRASIL","5590699","3"
"ASSIS BRASIL","5590603","1"
"ASSIS BRASIL","5320202","1"
"ASSIS BRASIL","5212500","4"
"ASSIS BRASIL","4930204","3"
"ASSIS BRASIL","4930201","3"
"ASSIS BRASIL","4929902","3"
"ASSIS BRASIL","4929901","4"
"ASSIS BRASIL","4924800","5"
"ASSIS BRASIL","4923001","1"
"ASSIS BRASIL","4789099","8"
"ASSIS BRASIL","4789008","1"
"ASSIS BRASIL","4789005","1"
"ASSIS BRASIL","4789001","1"
"ASSIS BRASIL","4783101","1"
"ASSIS BRASIL","4782201","2"
"ASSIS BRASIL","4781400","30"
"ASSIS BRASIL","4772500","3"
"ASSIS BRASIL","4755503","3"
"ASSIS BRASIL","4755502","5"
"ASSIS BRASIL","4753900","1"
"ASSIS BRASIL","4752100","2"
"ASSIS BRASIL","4751201","2"
"ASSIS BRASIL","4744004","1"
"ASSIS BRASIL","4742300","1"
"ASSIS BRASIL","4729699","3"
"ASSIS BRASIL","4729601","1"
"ASSIS BRASIL","4724500","1"
"ASSIS BRASIL","4723700","23"
"ASSIS BRASIL","4722901","4"
"ASSIS BRASIL","4721102","1"
"ASSIS BRASIL","4713002","3"
"ASSIS BRASIL","4712100","15"
"ASSIS BRASIL","4543900","4"
"ASSIS BRASIL","4541206","2"
"ASSIS BRASIL","4520006","2"
"ASSIS BRASIL","4520005","6"
"ASSIS BRASIL","4520002","1"
"ASSIS BRASIL","4520001","5"
"ASSIS BRASIL","4399105","1"
"ASSIS BRASIL","4399103","2"
"ASSIS BRASIL","4330404","2"
"ASSIS BRASIL","4322302","2"
"ASSIS BRASIL","4321500","2"
"ASSIS BRASIL","3314799","1"
"ASSIS BRASIL","3314711","1"
"ASSIS BRASIL","3313999","1"
"ASSIS BRASIL","3212400","1"
"ASSIS BRASIL","3101200","1"
"ASSIS BRASIL","2542000","1"
"ASSIS BRASIL","1412602","1"
"ASSIS BRASIL","1412601","1"
"ASSIS BRASIL","1099604","1"
"ASSIS BRASIL","1096100","1"
"ASSIS BRASIL","1091101","2"
"ASSIS BRASIL","1063500","1"
"ASSIS BRASIL","0322104","1"
"ASSIS BRASIL","0161003","2"
"BRASILEIA","9700500","1"
"BRASILEIA","9609299","3"
"BRASILEIA","9609208","1"
"BRASILEIA","9602502","15"
"BRASILEIA","9602501","50"
"BRASILEIA","9529104","2"
"BRASILEIA","9529102","1"
"BRASILEIA","9529101","1"
"BRASILEIA","9521500","2"
"BRASILEIA","9512600","4"
"BRASILEIA","9511800","6"
"BRASILEIA","8599699","5"
"BRASILEIA","8599605","3"
"BRASILEIA","8599604","9"
"BRASILEIA","8599603","1"
"BRASILEIA","8593700","1"
"BRASILEIA","8299707","2"
"BRASILEIA","8291100","2"
"BRASILEIA","8230002","1"
"BRASILEIA","8230001","2"
"BRASILEIA","8219999","3"
"BRASILEIA","8219901","2"
"BRASILEIA","8130300","2"
"BRASILEIA","8129000","2"
"BRASILEIA","7911200","6"
