"id","Nome do Veículo","Fonte","Segmento","Município","Cód Mun. (IBGE)","UF","Região","Núm. Funcionários","Periodicidade","Ativo","Data de Atualização","Data de Fechamento"
"17305","JORNAL O ALTO ACRE","Atlas da Notícia","impresso","Brasiléia","1200104","AC","Norte","","diária","Ativo","2023-05-05T14:07:32Z",""
"14030","JURUÁ EM TEMPO","Atlas da Notícia","impresso","Cruzeiro do Sul","1200203","AC","Norte","1 a 5 colaboradores","diária","Ativo","2019-11-25T04:41:23Z",""
"14068","VOZ DO NORTE","Atlas da Notícia","impresso","Cruzeiro do Sul","1200203","AC","Norte","","diária","Fechado","2019-11-26T00:13:43Z","2018-01"
"9","PAGINA 20","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"10","A GAZETA","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"5114","A GAZETA DO ACRE","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","6 a 9 colaboradores","diária","Ativo","2019-10-22T00:33:45Z",""
"5116","O RIO BRANCO","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","diária","Ativo","2019-10-22T00:33:45Z",""
"5117","A TRIBUNA","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"5118","OPINIÃO","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"11683","JORNAL A GAZETA","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","diária","Ativo","2019-10-22T00:33:45Z",""
"14046","RáDIO CALçADãO","Atlas da Notícia","impresso","Rio Branco","1200401","AC","Norte","","","Ativo","2019-11-25T06:57:01Z",""
"15002","O BARCELENSE","Atlas da Notícia","impresso","Barcelos","1300409","AM","Norte","6 a 9 colaboradores","diária","Ativo","2020-11-26T04:22:57Z",""
"35","JORNAL DO COMMERCIO","Secom/PR","impresso","Manaus","1302603","AM","Norte","6 a 9 colaboradores","diária","Ativo","2019-10-22T00:33:45Z",""
"46","MASKATE","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"47","AGORA","Secom/PR","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"48","AMAZONAS EM TEMPO","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"49","DIARIO DO AMAZONAS","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"50","EXTRA","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"5119","A CRÍTICA","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"5120","DIÁRIO DO AMAZONAS","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","","outra","Ativo","2019-10-22T00:33:45Z",""
"11682","JORNAL A CRÍTICA","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","30 a 59 colaboradores","diária","Ativo","2019-10-22T00:33:45Z",""
"11736","JORNAL MASKATE NEWS","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","10 a 29 colaboradores","diária","Ativo","2019-10-22T00:33:45Z",""
"12677","PORTAL D24AM","Atlas da Notícia","impresso","Manaus","1302603","AM","Norte","10 a 29 colaboradores","contínua","Ativo","2019-10-22T00:17:14Z",""
"11803","O SOLIMÕES","Atlas da Notícia","impresso","Tefé","1304203","AM","Norte","6 a 9 colaboradores","diária","Ativo","2019-10-22T00:33:45Z",""
