"","Cód Mun. (IBGE)","Município","UF","Região","População","Ano (população IBGE)","IDHM","IDHM (Renda)","IDHM (Educação)"
"1","1100031","Cabixi","RO","Norte","5363","2022","0.65","0.65","0.559"
"2","1100072","Corumbiara","RO","Norte","7519","2022","0.613","0.63","0.473"
"3","1100148","Nova Brasilândia D'Oeste","RO","Norte","15679","2022","0.643","0.664","0.524"
"4","1100262","Rio Crespo","RO","Norte","3471","2022","0.643","0.637","0.513"
"5","1100379","Alto Alegre dos Parecis","RO","Norte","11479","2022","0.592","0.603","0.443"
"6","1100502","Novo Horizonte do Oeste","RO","Norte","7667","2022","0.634","0.606","0.527"
"7","1100924","Chupinguaia","RO","Norte","9324","2022","0.652","0.659","0.514"
"8","1101203","Ministro Andreazza","RO","Norte","6466","2022","0.638","0.647","0.518"
"9","1101435","Nova União","RO","Norte","6200","2022","0.587","0.608","0.442"
"10","1101450","Parecis","RO","Norte","4125","2022","0.617","0.604","0.485"
"11","1101468","Pimenteiras do Oeste","RO","Norte","2156","2022","0.665","0.662","0.545"
"12","1101476","Primavera de Rondônia","RO","Norte","3074","2022","0.641","0.645","0.512"
"13","1101484","São Felipe D'Oeste","RO","Norte","5258","2022","0.649","0.615","0.571"
"14","1101559","Teixeirópolis","RO","Norte","4256","2022","0.643","0.653","0.498"
"15","1101757","Vale do Anari","RO","Norte","7788","2022","0.584","0.626","0.421"
"16","1101807","Vale do Paraíso","RO","Norte","6479","2022","0.627","0.641","0.485"
"17","1200054","Assis Brasil","AC","Norte","8100","2022","0.588","0.578","0.456"
"18","1200252","Epitaciolândia","AC","Norte","18757","2022","0.653","0.654","0.553"
"19","1200344","Manoel Urbano","AC","Norte","11996","2022","0.551","0.586","0.373"
"20","1200351","Marechal Thaumaturgo","AC","Norte","17093","2022","0.501","0.479","0.361"
"21","1200427","Rodrigues Alves","AC","Norte","14938","2022","0.567","0.518","0.477"
"22","1200435","Santa Rosa do Purus","AC","Norte","6723","2022","0.517","0.519","0.34"
"23","1200708","Xapuri","AC","Norte","18243","2022","0.599","0.621","0.448"
"24","1200807","Porto Acre","AC","Norte","16693","2022","0.576","0.593","0.418"
